[18/10/2017 2:55:30] /a 3
[18/10/2017 2:55:30] /a 3
[18/10/2017 2:55:31] /a 3
[18/10/2017 2:55:31] /a 3
[18/10/2017 2:55:31] /a 3
[18/10/2017 2:55:36] /a 3
[18/10/2017 2:55:36] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:37] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:38] /a 3
[18/10/2017 2:55:39] /a 3
[18/10/2017 2:55:40] /a 3
[18/10/2017 2:55:42] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:43] /a 3
[18/10/2017 2:55:44] /a 3
[18/10/2017 2:55:44] /a 3
[18/10/2017 2:55:45] /a 3
[18/10/2017 2:55:46] /a 3
[18/10/2017 2:55:47] /a 3
[18/10/2017 2:55:47] /a 3
[18/10/2017 2:55:48] /a 3
[18/10/2017 2:57:2] /up
[18/10/2017 2:57:7] /a 3
[18/10/2017 2:57:8] /a 3
[18/10/2017 2:57:8] /a 3
[18/10/2017 2:57:8] /a 3
[18/10/2017 2:57:9] /a 3
[18/10/2017 2:57:11] /a 3
[18/10/2017 2:57:17] /a 3
[18/10/2017 2:57:19] /a 3
[18/10/2017 2:57:22] /up
[18/10/2017 2:57:47] /a 3
[18/10/2017 2:57:47] /a 3
[18/10/2017 2:57:47] /a 3
[18/10/2017 2:57:48] /a 3
[18/10/2017 2:57:48] /a 3
[18/10/2017 2:57:48] /a 3
[18/10/2017 2:57:48] /a 3
[18/10/2017 2:57:49] /a 3
[18/10/2017 2:57:49] /a 3
[18/10/2017 2:57:51] /a 3
[18/10/2017 2:57:51] /a 3
[18/10/2017 2:57:51] /a 3
[18/10/2017 2:57:51] /a 3
[18/10/2017 2:57:53] /down
[18/10/2017 2:57:56] /up
[18/10/2017 2:57:58] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:57:59] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:0] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:1] /a 3
[18/10/2017 2:58:3] /a 3
[18/10/2017 2:58:3] /a 3
[18/10/2017 2:58:3] /a 3
[18/10/2017 2:58:3] /a 3
[18/10/2017 2:58:3] /a 3
[18/10/2017 2:58:3] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:4] /a 3
[18/10/2017 2:58:5] /a 3
[18/10/2017 2:58:5] /a 3
[18/10/2017 2:58:6] /a 3
[18/10/2017 2:58:7] /a 3
[18/10/2017 2:58:7] /a 3
[18/10/2017 2:58:7] /a 3
[18/10/2017 2:58:7] /a 3
[18/10/2017 2:58:7] /a 3
[18/10/2017 3:9:0] /goto rainbow
[18/10/2017 3:9:20] /goto rainbow
[18/10/2017 3:9:27] /goto rainbow
[18/10/2017 3:9:32] /goto rainbow
[18/10/2017 13:40:49] /town principal
[18/10/2017 13:41:23] /reload movements
[22/10/2017 0:1:47] /goto marcola
[22/10/2017 0:9:54] /a 3
[22/10/2017 0:9:55] /a 3
[22/10/2017 0:9:55] /a 3
[22/10/2017 0:9:55] /a 3
[22/10/2017 0:9:55] /a 3
[22/10/2017 0:9:56] /a 3
[22/10/2017 0:9:56] /a 3
[22/10/2017 0:9:56] /a 3
[22/10/2017 0:9:57] /a 3
[22/10/2017 0:9:57] /a 3
[22/10/2017 0:9:57] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:58] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:9:59] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:0] /a 3
[22/10/2017 0:10:1] /a 3
[22/10/2017 0:10:1] /a 3
[22/10/2017 0:10:1] /a 3
[22/10/2017 0:10:1] /a 3
[22/10/2017 0:10:2] /a 3
[22/10/2017 0:10:2] /a 3
[22/10/2017 0:10:2] /a 3
[22/10/2017 0:10:2] /a 3
[22/10/2017 0:10:2] /a 3
[22/10/2017 0:10:3] /a 3
[22/10/2017 0:10:3] /a 3
[22/10/2017 0:10:4] /a 3
[22/10/2017 0:10:4] /a 3
[22/10/2017 0:10:5] /a 3
[22/10/2017 0:10:5] /a 3
[22/10/2017 0:10:5] /a 3
[22/10/2017 0:10:5] /a 3
[22/10/2017 0:10:6] /a 3
[22/10/2017 0:10:14] /a 3
[22/10/2017 0:10:14] /a 3
[22/10/2017 0:10:15] /a 3
[22/10/2017 0:10:15] /a 3
[22/10/2017 0:10:15] /a 3
[22/10/2017 0:10:15] /a 3
[22/10/2017 0:10:16] /a 3
[22/10/2017 0:10:16] /a 3
[22/10/2017 0:10:16] /a 3
[22/10/2017 0:10:16] /a 3
[22/10/2017 0:10:16] /a 3
[22/10/2017 0:10:16] /a 3
[22/10/2017 0:10:17] /a 3
[22/10/2017 0:10:17] /a 3
[22/10/2017 0:10:17] /a 3
[22/10/2017 0:10:17] /a 3
[22/10/2017 0:10:18] /a 3
[22/10/2017 0:10:18] /a 3
[22/10/2017 0:10:18] /a 3
[22/10/2017 0:10:19] /a 3
[22/10/2017 0:10:19] /a 3
[22/10/2017 0:10:19] /a 3
[22/10/2017 0:10:19] /a 3
[22/10/2017 0:10:19] /a 3
[22/10/2017 0:10:20] /a 3
[22/10/2017 0:10:20] /a 3
[22/10/2017 0:10:20] /a 3
[22/10/2017 0:10:20] /a 3
[22/10/2017 0:10:20] /a 3
[22/10/2017 0:10:21] /a 3
[22/10/2017 0:10:21] /a 3
[22/10/2017 0:10:21] /a 3
[22/10/2017 0:10:21] /a 3
[22/10/2017 0:10:22] /a 3
[22/10/2017 0:10:22] /a 3
[22/10/2017 0:10:22] /a 3
[22/10/2017 0:10:22] /a 3
[22/10/2017 0:10:23] /a 3
