[2/9/2016 22:33:31] /closeserver
[2/9/2016 22:47:16] /i 2121
[2/9/2016 22:47:18] /i 2121
[2/9/2016 22:47:22] /i 2122
[2/9/2016 22:47:37] /i 2123
[2/9/2016 22:47:43] /i 2124
[2/9/2016 22:47:46] /i 2125
[2/9/2016 22:47:49] /i 2126
[2/9/2016 22:47:51] /i 2121
[2/9/2016 22:47:56] /i 2120
[2/9/2016 22:48:1] /i 2119
[2/9/2016 22:48:7] /r
[2/9/2016 22:53:51] /shutdown
[2/9/2016 22:55:43] /closeserver
[2/9/2016 22:56:25] /i new mage staff
[4/9/2016 9:48:50] /c psy net~
[4/9/2016 9:49:54] /c ment~
[4/9/2016 9:50:52] /c markiin~
[4/9/2016 9:51:44] /c skullz~
[4/9/2016 9:53:7] /c matarindo~
[4/9/2016 9:54:51] /t
[4/9/2016 9:56:36] /r
[4/9/2016 9:57:7] /goto skull~
[4/9/2016 16:32:48] /t matarindo~
[4/9/2016 16:41:1] /i new mage boots
[4/9/2016 20:41:26] /c matarindo~
[4/9/2016 20:42:9] /i blessing amulet
[4/9/2016 20:42:19] /t matarin~
[4/9/2016 22:13:28] /t
[4/9/2016 22:27:11] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:17] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:18] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:19] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:20] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:21] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:22] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:23] /b O servidor vai cair em 1 min volta para testar nova atualização OBRIGADO
[4/9/2016 22:27:29] /save
[4/9/2016 22:27:32] /shutdown
